rank,title,artist,album,img_url

1,Home,임영웅,온기,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/111/408/85111408_1714717028079_1_140x140.JPG/dims/resize/Q_80,0"

2,PYTHON,GOT7 (갓세븐),WINTER HEPTAGON,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/935/839/85935839_1737102089749_1_140x140.JPG/dims/resize/Q_80,0"

3,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/322/594/82322594_1633671778123_1_140x140.JPG/dims/resize/Q_80,0"

4,우리들의 블루스,임영웅,IM HERO,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0"

5,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/410/156/81410156_1585878705990_1_140x140.JPG/dims/resize/Q_80,0"

6,모래 알갱이,임영웅,모래 알갱이,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/883/344/83883344_1685931006480_1_140x140.JPG/dims/resize/Q_80,0"

7,온기,임영웅,온기,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/111/408/85111408_1714717028079_1_140x140.JPG/dims/resize/Q_80,0"

8,다시 만날 수 있을까,임영웅,IM HERO,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0"

9,무지개,임영웅,IM HERO,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0"

10,London Boy,임영웅,Polaroid,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/180/213/83180213_1668490985544_1_140x140.JPG/dims/resize/Q_80,0"

11,Do or Die,임영웅,Do or Die,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/347/557/84347557_1696578032588_1_140x140.JPG/dims/resize/Q_80,0"

12,Polaroid,임영웅,Polaroid,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/180/213/83180213_1668490985544_1_140x140.JPG/dims/resize/Q_80,0"

13,연애편지,임영웅,IM HERO,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0"

14,인생찬가,임영웅,IM HERO,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0"

15,HOME SWEET HOME (Feat. 태양 & 대성),G-DRAGON,HOME SWEET HOME,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/795/386/85795386_1732170719581_1_140x140.JPG/dims/resize/Q_80,0"

16,보금자리,임영웅,IM HERO,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0"

17,나는 반딧불,황가람,나는 반딧불,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/694/890/85694890_1729238188939_1_140x140.JPG/dims/resize/Q_80,0"

18,REBEL HEART,IVE (아이브),IVE EMPATHY,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/919/941/85919941_1736491636347_1_140x140.JPG/dims/resize/Q_80,0"

19,Whiplash,aespa,Whiplash - The 5th Mini Album,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/694/834/85694834_1729236989658_1_140x140.JPG/dims/resize/Q_80,0"

20,APT.,로제 (ROSÉ) & Bruno Mars,APT.,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/693/971/85693971_1729212690074_1_140x140.JPG/dims/resize/Q_80,0"

21,toxic till the end,로제 (ROSÉ),rosie,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/838/476/85838476_1733375833981_1_140x140.JPG/dims/resize/Q_80,0"

22,Drowning,WOODZ,OO-LI,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/570/761/83570761_1682496044865_1_140x140.JPG/dims/resize/Q_80,0"

23,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/662/151/85662151_1729042126804_1_140x140.JPG/dims/resize/Q_80,0"

24,HAPPY,DAY6 (데이식스),Fourever,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/877/280/84877280_1710728168568_1_140x140.JPG/dims/resize/Q_80,0"

25,너와의 모든 지금,재쓰비 (JAESSBEE),너와의 모든 지금,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/758/344/85758344_1731048739763_1_140x140.JPG/dims/resize/Q_80,0"

26,POWER,G-DRAGON,POWER,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/729/971/85729971_1730269317798_1_140x140.JPG/dims/resize/Q_80,0"

27,슬픈 초대장,순순희 (지환),슬픈 초대장,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/626/244/84626244_1702951496211_1_140x140.JPG/dims/resize/Q_80,0"

28,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/907/714/85907714_1736129489622_1_140x140.JPG/dims/resize/Q_80,0"

29,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/416/267/84416267_1712539030215_1_140x140.JPG/dims/resize/Q_80,0"

30,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/556/176/85556176_1727059041255_1_140x140.JPG/dims/resize/Q_80,0"

31,Supernova,aespa,Armageddon - The 1st Album,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/165/232/85165232_1716798792825_1_140x140.JPG/dims/resize/Q_80,0"

32,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/815/509/84815509_1708311688384_1_140x140.JPG/dims/resize/Q_80,0"

33,Welcome to the Show,DAY6 (데이식스),Fourever,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/877/280/84877280_1710728168568_1_140x140.JPG/dims/resize/Q_80,0"

34,빛이 나는 사람,김호중,빛이 나는 사람,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/763/271/82763271_1655449446910_1_140x140.JPG/dims/resize/Q_80,0"

35,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/244/101/81244101_1563174738943_1_140x140.JPG/dims/resize/Q_80,0"

36,쏜살,김호중,A LIFE (세상),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/958/389/84958389_1712187712338_1_140x140.JPG/dims/resize/Q_80,0"

37,함께 가 줄래,김호중,A LIFE (세상),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/958/389/84958389_1712187712338_1_140x140.JPG/dims/resize/Q_80,0"

38,그대... 떠나도,김호중,A LIFE (세상),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/958/389/84958389_1712187712338_1_140x140.JPG/dims/resize/Q_80,0"

39,봄날에,김호중,A LIFE (세상),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/958/389/84958389_1712187712338_1_140x140.JPG/dims/resize/Q_80,0"

40,바람이 부는 날엔,김호중,A LIFE (세상),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/958/389/84958389_1712187712338_1_140x140.JPG/dims/resize/Q_80,0"

41,별 헤는 밤,김호중,A LIFE (세상),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/958/389/84958389_1712187712338_1_140x140.JPG/dims/resize/Q_80,0"

42,DRIP,BABYMONSTER,DRIP,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/729/404/85729404_1730422138405_1_140x140.JPG/dims/resize/Q_80,0"

43,예뻤어,DAY6 (데이식스),Every DAY6 February,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/919/666/80919666_1486113823984_1_140x140.JPG/dims/resize/Q_80,0"

44,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/664/591/85664591_1728366690840_1_140x140.JPG/dims/resize/Q_80,0"

45,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/624/911/82624911_1649062753955_1_140x140.JPG/dims/resize/Q_80,0"

46,고민중독,QWER,1st Mini Album 'MANITO',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/934/155/84934155_1711856063083_1_140x140.JPG/dims/resize/Q_80,0"

47,에피소드,이무진,에피소드,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/600/370/84600370_1702445165120_1_140x140.JPG/dims/resize/Q_80,0"

48,Love wins all,아이유 (IU),The Winning,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/729/887/84729887_1708417120198_1_140x140.JPG/dims/resize/Q_80,0"

49,난 기억해 (yours),폴킴,Sincerely yours (10th Anniversary Edition),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/940/775/85940775_1737357119565_1_140x140.JPG/dims/resize/Q_80,0"

50,Mantra,제니 (JENNIE),Mantra,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/672/947/85672947_1728543992528_1_140x140.JPG/dims/resize/Q_80,0"

51,나는 아픈 건 딱 질색이니까,(여자)아이들,2,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/718/499/84718499_1706517983529_1_140x140.JPG/dims/resize/Q_80,0"

52,살기 위해서,순순희,살기 위해서,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/631/752/82631752_1650601078032_1_140x140.JPG/dims/resize/Q_80,0"

53,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/271/853/81271853_1569396403906_1_140x140.JPG/dims/resize/Q_80,0"

54,비의 랩소디,임재현,비의 랩소디,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/545/218/84545218_1701255631132_1_140x140.JPG/dims/resize/Q_80,0"

55,How Sweet,NewJeans,How Sweet,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/075/275/85075275_1716515409009_1_140x140.JPG/dims/resize/Q_80,0"

56,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/401/547/80401547_1392172764399_1_140x140.JPG/dims/resize/Q_80,0"

57,내 삶의 반,임재현,내 삶의 반,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/926/631/85926631_1737105639103_1_140x140.JPG/dims/resize/Q_80,0"

58,Small girl (Feat. 도경수 (D.O.)),이영지,16 Fantasy,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/338/698/85338698_1718875009670_1_140x140.JPG/dims/resize/Q_80,0"

59,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/150/934/84150934_1691983589938_1_140x140.JPG/dims/resize/Q_80,0"

60,헤어지자 말해요,박재정,1집 Alone,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/748/133/83748133_1681960235531_1_140x140.JPG/dims/resize/Q_80,0"

61,청춘만화,이무진,만화 (滿花),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/655/130/85655130_1728026830591_1_140x140.JPG/dims/resize/Q_80,0"

62,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album 'Sparkling Blue',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/662/081/84662081_1705913418886_1_140x140.JPG/dims/resize/Q_80,0"

63,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/914/936/84914936_1711089894911_1_140x140.JPG/dims/resize/Q_80,0"

64,청바지,부석순 (SEVENTEEN),부석순 2nd Single Album 'TELEPARTY',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/911/042/85911042_1736298717582_1_140x140.JPG/dims/resize/Q_80,0"

65,Magnetic,아일릿 (ILLIT),SUPER REAL ME,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/914/987/84914987_1711342168138_1_140x140.JPG/dims/resize/Q_80,0"

66,시작의 아이,마크툽 (Maktub),시작의 아이 ハジマリのコ (Starting With You),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/890/727/85890727_1734944366240_1_140x140.JPG/dims/resize/Q_80,0"

67,Die With A Smile,Lady Gaga & Bruno Mars,Die With A Smile,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/520/620/85520620_1723781667920_1_140x140.JPG/dims/resize/Q_80,0"

68,I AM,IVE (아이브),I've IVE,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/665/559/83665559_1681116738103_1_140x140.JPG/dims/resize/Q_80,0"

69,Igloo,KISS OF LIFE,Lose Yourself,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/650/192/85650192_1728969770669_1_140x140.JPG/dims/resize/Q_80,0"

70,Supernatural,NewJeans,Supernatural,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/323/248/85323248_1718932273566_1_140x140.JPG/dims/resize/Q_80,0"

71,주저하는 연인들을 위해,잔나비,전설,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/172/042/81172042_1552452730746_1_140x140.JPG/dims/resize/Q_80,0"

72,"무제(無題) (Untitled, 2014)",G-DRAGON,권지용,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/954/432/80954432_1496903717289_1_140x140.JPG/dims/resize/Q_80,0"

73,클락션 (Klaxon),(여자)아이들,I SWAY,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/399/225/85399225_1720405890464_1_140x140.JPG/dims/resize/Q_80,0"

74,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/950/772/84950772_1712015258001_1_140x140.JPG/dims/resize/Q_80,0"

75,Cruel Summer,Taylor Swift,Lover,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/261/264/81261264_1566536354779_1_140x140.JPG/dims/resize/Q_80,0"

76,붉은 노을,BIGBANG (빅뱅),REMEMBER,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/070/022/032/70022032_1404809056891_1_140x140.JPG/dims/resize/Q_80,0"

77,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/051/769/82051769_1621328428038_1_140x140.JPG/dims/resize/Q_80,0"

78,뱅뱅뱅 (BANG BANG BANG),BIGBANG (빅뱅),A,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/599/976/80599976_1433164715307_1_140x140.JPG/dims/resize/Q_80,0"

79,고리,정동원 (Jeong Dong Won),고리,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/758/356/85758356_1731048998159_1_140x140.JPG/dims/resize/Q_80,0"

80,독백,정동원 (Jeong Dong Won),소품집 Vol.1,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/219/101/84219101_1695198744306_1_140x140.JPG/dims/resize/Q_80,0"

81,Older,Sasha Alex Sloan,Older,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/122/286/81122286_1541662943840_1_140x140.JPG/dims/resize/Q_80,0"

82,해야 (HEYA),IVE (아이브),IVE SWITCH,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/075/031/85075031_1714115323364_1_140x140.JPG/dims/resize/Q_80,0"

83,심 (心),DK (디셈버),심 (心),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/556/186/83556186_1676621348326_1_140x140.JPG/dims/resize/Q_80,0"

84,SPOT! (Feat. JENNIE),지코 (ZICO),SPOT!,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/072/667/85072667_1714091257020_1_140x140.JPG/dims/resize/Q_80,0"

85,여백,정동원 (Jeong Dong Won),내일은 미스터트롯 결승전 베스트,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/388/783/81388783_1584065968502_1_140x140.JPG/dims/resize/Q_80,0"

86,Hug (포옹),RIIZE,Hug (포옹),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/909/300/85909300_1736232092694_1_140x140.JPG/dims/resize/Q_80,0"

87,뱃놀이,정동원 (Jeong Dong Won),사내 ［MAN］,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/242/073/83242073_1669877747228_1_140x140.JPG/dims/resize/Q_80,0"

88,잘가요 내사랑,정동원 (Jeong Dong Won),"그리움, 아낌없이 주는 나무","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/394/837/82394837_1637133353877_1_140x140.JPG/dims/resize/Q_80,0"

89,어른,Sondia,나의 아저씨 OST Part. 2 (tvN 수목드라마),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/048/807/81048807_1522310270525_1_140x140.JPG/dims/resize/Q_80,0"

90,Armageddon,aespa,Armageddon - The 1st Album,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/165/232/85165232_1716798792825_1_140x140.JPG/dims/resize/Q_80,0"

91,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/011/548/84011548_1688552794542_1_140x140.JPG/dims/resize/Q_80,0"

92,number one girl,로제 (ROSÉ),number one girl,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/798/066/85798066_1732235885781_1_140x140.JPG/dims/resize/Q_80,0"

93,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/842/800/82842800_1659340238924_1_140x140.JPG/dims/resize/Q_80,0"

94,지나야,박서진,춘몽,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/588/958/83588958_1677808390781_1_140x140.JPG/dims/resize/Q_80,0"

95,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/614/128/82614128_1648619377015_1_140x140.JPG/dims/resize/Q_80,0"

96,춘몽,박서진,춘몽,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/588/958/83588958_1677808390781_1_140x140.JPG/dims/resize/Q_80,0"

97,광대,박서진,현역가왕2 예선전 PART 2 & 데스매치 PART 1,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/854/118/85854118_1733817694669_1_140x140.JPG/dims/resize/Q_80,0"

98,Take Care,다이나믹 듀오 & 거미 (GUMMY),Take Care,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/926/580/85926580_1736904861663_1_140x140.JPG/dims/resize/Q_80,0"

99,책임져,JD1,책임져,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/676/125/85676125_1728614504701_1_140x140.JPG/dims/resize/Q_80,0"

100,Supersonic,프로미스나인,Supersonic,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/506/199/85506199_1723425988903_1_140x140.JPG/dims/resize/Q_80,0"

